Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
22,0.0284784194082021,0.6248248219490051,0.094058372080326,-1.3647910356521606,0.1591147184371948,-0.1129512414336204,0.4750290215015411,0.4,0.2844,-0.3,0.400000008014067,0.2843997931706913,-0.2999998306822171,0.0054788570851087,0.0093271732330322,0.0230209454894065,0.0113903284072875,0.020513966679573,0.0139175727963447,0.0080280900001525,2.6741559379798534e-07,7.228392780689319e-05,22,0.0284784194082021,-0.6248248219490051,-0.094058372080326,-1.3647910356521606,-0.1591147184371948,-0.1129512414336204,-0.4750290215015411,0.4,-0.2844,-0.3,0.4000000231351339,-0.2843999718801698,-0.2999997431101557,0.0054788570851087,0.0093271732330322,0.0230209454894065,0.0113903284072875,0.020513966679573,0.0139175727963447,0.0080280900001525,2.594578026737629e-07,5.472149604202059e-05
23,0.0229995623230934,0.6154976487159729,0.0710374265909195,-1.3761813640594482,0.1796286851167678,-0.0990336686372757,0.4670009315013886,0.4,0.2745999999999999,-0.3,0.4000000110079225,0.2745997994198431,-0.2999997975817,0.0062743704766035,0.0092954635620117,0.02359439432621,0.0101188421249389,0.020673245191574,0.0133684128522872,0.0083537697792053,2.851784386062526e-07,7.391924697230934e-05,23,0.0229995623230934,-0.6154976487159729,-0.0710374265909195,-1.3761813640594482,-0.1796286851167678,-0.0990336686372757,-0.4670009315013886,0.4,-0.2745999999999999,-0.3,0.4000000257886117,-0.2745999797688084,-0.2999997198038749,0.0062743704766035,0.0092954635620117,0.02359439432621,0.0101188421249389,0.020673245191574,0.0133684128522872,0.0083537697792053,2.8210675653606324e-07,5.772924208713448e-05
24,0.0167251918464899,0.6062021851539612,0.0474430322647094,-1.3863002061843872,0.2003019303083419,-0.0856652557849884,0.4586471617221832,0.4,0.2648,-0.3,0.4000000070268075,0.264799797855245,-0.2999997988811633,0.0070468438789248,0.0093032717704772,0.0241170153021812,0.0088557004928588,0.0208216458559036,0.0128138661384582,0.0086420774459838,2.852379084989871e-07,7.389952202174754e-05,24,0.0167251918464899,-0.6062021851539612,-0.0474430322647094,-1.3863002061843872,-0.2003019303083419,-0.0856652557849884,-0.4586471617221832,0.4,-0.2648,-0.3,0.4000000216343709,-0.2647999802391391,-0.2999997309566951,0.0070468438789248,0.0093032717704772,0.0241170153021812,0.0088557004928588,0.0208216458559036,0.0128138661384582,0.0086420774459838,2.7063413959771384e-07,5.67615020941048e-05
25,0.009678347967565,0.5968989133834839,0.0233260169625282,-1.395155906677246,0.2211235761642456,-0.0728513896465301,0.4500050842761993,0.4,0.255,-0.3,0.400000002194043,0.2549998094314155,-0.299999826682613,0.007795293116942,0.0093507170677183,0.0245877718552947,0.0075993537902834,0.0209567844867706,0.012253999710083,0.0088917911052703,2.576045726469244e-07,7.139099824371442e-05,25,0.009678347967565,-0.5968989133834839,-0.0233260169625282,-1.395155906677246,-0.2211235761642456,-0.0728513896465301,-0.4500050842761993,0.4,-0.255,-0.3,0.4000000168138904,-0.254999994224734,-0.2999997686559945,0.007795293116942,0.0093507170677183,0.0245877718552947,0.0075993537902834,0.0209567844867706,0.012253999710083,0.0088917911052703,2.320260965748775e-07,5.3400112051349424e-05
26,0.001883054850623,0.5875481963157655,-0.0012617548927664,-1.4027552604675295,0.2420803606510162,-0.0605973899364471,0.4411132931709289,0.4,0.2451999999999999,-0.3,0.4000000010262042,0.2451998113297731,-0.2999998144576988,0.0085184404160827,0.0094379782676697,0.0250055333599448,0.0063486099243161,0.0210764706134796,0.0116891376674175,0.009101778268814,2.646194496219803e-07,7.15541779072737e-05,26,0.001883054850623,-0.5875481963157655,0.0012617548927664,-1.4027552604675295,-0.2420803606510162,-0.0605973899364471,-0.4411132931709289,0.4,-0.2451999999999999,-0.3,0.4000000158603702,-0.2451999988854144,-0.2999997663577706,0.0085184404160827,0.0094379782676697,0.0250055333599448,0.0063486099243161,0.0210764706134796,0.0116891376674175,0.009101778268814,2.3418258902144507e-07,5.45346872513619e-05
27,-0.0066353855654597,0.5781102180480957,-0.0262672882527113,-1.4091038703918457,0.2631568312644958,-0.0489082522690296,0.4320115149021149,0.4,0.2354,-0.3,0.3999999977020804,0.2353997940719657,-0.2999997908578072,0.0092148026451468,0.009564995765686,0.0253691468387842,0.0051020383834838,0.0211785733699799,0.0111198239028453,0.009270817041397,2.9351676704034044e-07,7.582740545331035e-05,27,-0.0066353855654597,-0.5781102180480957,0.0262672882527113,-1.4091038703918457,-0.2631568312644958,-0.0489082522690296,-0.4320115149021149,0.4,-0.2354,-0.3,0.4000000129675831,-0.235399984720797,-0.2999997526967023,0.0092148026451468,0.009564995765686,0.0253691468387842,0.0051020383834838,0.0211785733699799,0.0111198239028453,0.009270817041397,2.481139522368459e-07,5.442765143470752e-05
28,-0.0158501882106065,0.5685452222824097,-0.0516364350914955,-1.4142059087753296,0.2843354046344757,-0.0377884283661842,0.4227406978607178,0.4,0.2255999999999999,-0.3,0.3999999986103231,0.2255998058492108,-0.2999997772645749,0.009882777929306,0.0097312331199646,0.0256774947047233,0.0038585662841796,0.0212612450122832,0.0105467904359102,0.0093978643417358,2.954784758664055e-07,7.513208089449108e-05,28,-0.0158501882106065,-0.5685452222824097,0.0516364350914955,-1.4142059087753296,-0.2843354046344757,-0.0377884283661842,-0.4227406978607178,0.4,-0.2255999999999999,-0.3,0.4000000145373455,-0.2255999998996087,-0.2999997490367008,0.009882777929306,0.0097312331199646,0.0256774947047233,0.0038585662841796,0.0212612450122832,0.0105467904359102,0.0093978643417358,2.513840130918549e-07,5.608974470305839e-05
29,-0.0257329661399126,0.5588139891624451,-0.0773139297962188,-1.4180644750595093,0.305596649646759,-0.027241637930274,0.4133428335189819,0.4,0.2158,-0.3,0.3999999963865303,0.2157998034646892,-0.2999997624287578,0.0105207283049821,0.0099362134933471,0.0259296000003814,0.0026174783706665,0.0213227272033691,0.0099709257483482,0.0094819068908691,3.083492835866598e-07,7.632564495452243e-05,29,-0.0257329661399126,-0.5588139891624451,0.0773139297962188,-1.4180644750595093,-0.305596649646759,-0.027241637930274,-0.4133428335189819,0.4,-0.2158,-0.3,0.4000000132164757,-0.2158000012021212,-0.2999997441100239,0.0105207283049821,0.0099362134933471,0.0259296000003814,0.0026174783706665,0.0213227272033691,0.0099709257483482,0.0094819068908691,2.5623387791642664e-07,5.6941005823318847e-05
30,-0.0362536944448947,0.5488777756690979,-0.1032435297966003,-1.4206819534301758,0.3269193768501282,-0.0172707121819257,0.4038609266281128,0.4,0.206,-0.3,0.3999999912053723,0.2059997983111325,-0.2999997725302362,0.0111270658671855,0.0101789236068725,0.0261246263980865,0.0013778209686279,0.0213615000247955,0.0093932664021849,0.0095220804214477,3.04135230107532e-07,7.666868327760312e-05,30,-0.0362536944448947,-0.5488777756690979,0.1032435297966003,-1.4206819534301758,-0.3269193768501282,-0.0172707121819257,-0.4038609266281128,0.4,-0.206,-0.3,0.4000000091888127,-0.2059999999980266,-0.2999997640772591,0.0111270658671855,0.0101789236068725,0.0261246263980865,0.0013778209686279,0.0213615000247955,0.0093932664021849,0.0095220804214477,2.361016178578683e-07,5.456141337845111e-05
31,-0.0473807603120803,0.5386988520622253,-0.1293681561946869,-1.4220597743988037,0.3482808768749237,-0.0078774457797408,0.394338846206665,0.4,0.1961999999999999,-0.3,0.3999999913941092,0.196199813562462,-0.2999997762876548,0.0117003247141838,0.0104580521583557,0.0262620151042938,0.0001389980316162,0.0213762819766998,0.0088149545481428,0.0095176994800567,2.9134211896067657e-07,7.48014864484503e-05,31,-0.0473807603120803,-0.5386988520622253,0.1293681561946869,-1.4220597743988037,-0.3482808768749237,-0.0078774457797408,-0.394338846206665,0.4,-0.1961999999999999,-0.3,0.4000000107886339,-0.1962000194381551,-0.2999997776371896,0.0117003247141838,0.0104580521583557,0.0262620151042938,0.0001389980316162,0.0213762819766998,0.0088149545481428,0.0095176994800567,2.2347137610993642e-07,5.469484813147574e-05
