Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
20,0.0028447036165744,0.9926632642745972,0.6792621612548828,-1.3437223434448242,-0.4862556755542755,-0.0119223883375525,0.6937944293022156,0.4,0.5,-0.1,0.4000000115708446,0.4999998370208379,-0.0999999198312193,0.0109515117947012,0.010383129119873,0.0061829686164855,0.0137244462966921,0.0159428417682647,0.0214994894340634,0.0125489234924316,1.8199759642789648e-07,6.283217203417735e-05,20,0.0028447036165744,-0.9926632642745972,-0.6792621612548828,-1.3437223434448242,0.4862556755542755,-0.0119223883375525,-0.6937944293022156,0.4,-0.5,-0.1,0.3999999804752167,-0.4999998585921684,-0.0999996760086066,0.0109515117947012,0.010383129119873,0.0061829686164855,0.0137244462966921,0.0159428417682647,0.0214994894340634,0.0125489234924316,3.540449335753696e-07,6.99052426966773e-05
21,-0.0081068081781268,1.0030463933944702,0.6854451298713684,-1.3574467897415163,-0.5021985173225403,0.0095771010965108,0.7063433527946472,0.4,0.485,-0.1,0.4000000103624087,0.4849998348918073,-0.0999999273585432,0.0090680131106637,0.0234286785125732,0.0111422538757324,0.0569409132003781,0.020954430103302,0.039184695109725,0.0080606937408448,1.8067893076656626e-07,6.347851552845896e-05,21,-0.0081068081781268,-1.0030463933944702,-0.6854451298713684,-1.3574467897415163,0.5021985173225403,0.0095771010965108,-0.7063433527946472,0.4,-0.485,-0.1,0.3999999786333228,-0.4849998464282531,-0.0999996959623583,0.0090680131106637,0.0234286785125732,0.0111422538757324,0.0569409132003781,0.020954430103302,0.039184695109725,0.0080606937408448,3.412912302993933e-07,6.718281838402618e-05
22,0.0009612049325369,0.979617714881897,0.674302875995636,-1.4143877029418943,-0.4812440872192383,0.0487617962062358,0.714404046535492,0.4,0.47,-0.1,0.4000000002583089,0.4699998260148006,-0.0999999247306738,0.005935673660133,0.0220806002616881,0.0151029229164123,0.0535488128662109,0.02141535282135,0.0388937331736087,0.0057044625282286,1.895689525742479e-07,6.506629068780967e-05,22,0.0009612049325369,-0.979617714881897,-0.674302875995636,-1.4143877029418943,0.4812440872192383,0.0487617962062358,-0.714404046535492,0.4,-0.47,-0.1,0.399999967499821,-0.4699998293495424,-0.0999997061861494,0.005935673660133,0.0220806002616881,0.0151029229164123,0.0535488128662109,0.02141535282135,0.0388937331736087,0.0057044625282286,3.4132743672203414e-07,6.711768719469546e-05
23,0.0068968785926699,0.9575371146202089,0.6591999530792236,-1.4679365158081057,-0.4598287343978882,0.0876555293798446,0.7201085090637207,0.4,0.455,-0.1,0.3999999965630225,0.4549998424897501,-0.0999999369359225,0.0031913165003061,0.0208194255828858,0.0186963081359863,0.0503803491592407,0.0220637321472167,0.0386672168970108,0.0033782124519349,1.6970082353496537e-07,6.39361892353918e-05,23,0.0068968785926699,-0.9575371146202089,-0.6591999530792236,-1.4679365158081057,0.4598287343978882,0.0876555293798446,-0.7201085090637207,0.4,-0.455,-0.1,0.3999999625324836,-0.4549998392585418,-0.0999997316403144,0.0031913165003061,0.0208194255828858,0.0186963081359863,0.0503803491592407,0.0220637321472167,0.0386672168970108,0.0033782124519349,3.150532526588496e-07,6.283217203417735e-05
24,0.010088195092976,0.936717689037323,0.6405036449432373,-1.5183168649673462,-0.4377650022506714,0.1263227462768554,0.7234867215156556,0.4,0.44,-0.1,0.3999999938595893,0.439999854864905,-0.0999999269820381,0.0007166443392634,0.0196419358253479,0.0220316052436828,0.0473773479461669,0.022896409034729,0.0384770929813385,0.001047372817993,1.625838958684931e-07,6.222598477734209e-05,24,0.010088195092976,-0.936717689037323,-0.6405036449432373,-1.5183168649673462,0.4377650022506714,0.1263227462768554,-0.7234867215156556,0.4,-0.44,-0.1,0.3999999584406237,-0.4399998465571382,-0.0999997353162107,0.0007166443392634,0.0196419358253479,0.0220316052436828,0.0473773479461669,0.022896409034729,0.0384770929813385,0.001047372817993,3.0875459814540285e-07,6.461662189849449e-05
25,0.0108048394322395,0.9170757532119752,0.6184720396995544,-1.5656942129135132,-0.4148685932159424,0.1647998392581939,0.7245340943336487,0.4,0.425,-0.1,0.3999999834380929,0.4249998441369664,-0.0999999173605813,0.0015734434127807,0.0185479521751403,0.025184154510498,0.0444936752319335,0.0239137709140777,0.0382969975471496,0.0013163685798645,1.771915785623043e-07,6.531228888206897e-05,25,0.0108048394322395,-0.9170757532119752,-0.6184720396995544,-1.5656942129135132,0.4148685932159424,0.1647998392581939,-0.7245340943336487,0.4,-0.425,-0.1,0.3999999466234314,-0.4249998321326713,-0.0999997396950985,0.0015734434127807,0.0185479521751403,0.025184154510498,0.0444936752319335,0.0239137709140777,0.0382969975471496,0.0013163685798645,3.1430421544489224e-07,6.301751807313849e-05
26,0.0092313960194587,0.8985278010368347,0.5932878851890564,-1.6101878881454468,-0.3909548223018646,0.2030968368053436,0.7232177257537842,0.4,0.41,-0.1,0.3999999790819258,0.4099998487102209,-0.0999999121428573,0.0037409048527479,0.0175399780273437,0.0282052159309387,0.0416921377182009,0.0251184403896331,0.0381009578704834,0.0037372112274169,1.7619602896350733e-07,6.56018247582324e-05,26,0.0092313960194587,-0.8985278010368347,-0.5932878851890564,-1.6101878881454468,0.3909548223018646,0.2030968368053436,-0.7232177257537842,0.4,-0.41,-0.1,0.399999940962856,-0.4099998343067629,-0.0999997488401815,0.0037409048527479,0.0175399780273437,0.0282052159309387,0.0416921377182009,0.0251184403896331,0.0381009578704834,0.0037372112274169,3.0662825639542586e-07,6.283217203417735e-05
27,0.0054904911667108,0.880987823009491,0.5650826692581177,-1.6518800258636477,-0.3658363819122314,0.241197794675827,0.7194805145263672,0.4,0.395,-0.1,0.3999999669757336,0.3949998650937975,-0.09999987412207,0.0058307216095272,0.0166239142417907,0.0311278104782104,0.0389428138732907,0.0265142619609832,0.0378624498844146,0.0062350630760192,1.874447622554142e-07,6.448110980272759e-05,27,0.0054904911667108,-0.880987823009491,-0.5650826692581177,-1.6518800258636477,0.3658363819122314,0.241197794675827,-0.7194805145263672,0.4,-0.395,-0.1,0.3999999277359787,-0.3949998495246154,-0.0999997255359223,0.0058307216095272,0.0166239142417907,0.0311278104782104,0.0389428138732907,0.0265142619609832,0.0378624498844146,0.0062350630760192,3.212405019423723e-07,6.774466578463034e-05
28,-0.0003402304428163,0.8643639087677002,0.5339548587799072,-1.6908228397369385,-0.3393221199512481,0.2790602445602417,0.7132454514503479,0.4,0.38,-0.1,0.3999999662207353,0.3799998707413644,-0.0999998886567716,0.0078746353683527,0.0158083438873291,0.0339708626270294,0.0362206697463989,0.0281048417091369,0.0375539064407348,0.0088258981704711,1.7391419756123077e-07,6.493171702004474e-05,28,-0.0003402304428163,-0.8643639087677002,-0.5339548587799072,-1.6908228397369385,0.3393221199512481,0.2790602445602417,-0.7132454514503479,0.4,-0.38,-0.1,0.3999999261332714,-0.379999855188648,-0.0999997551289655,0.0078746353683527,0.0158083438873291,0.0339708626270294,0.0362206697463989,0.0281048417091369,0.0375539064407348,0.0088258981704711,2.939191126640208e-07,6.217911021622058e-05
29,-0.0082148658111691,0.8485555648803711,0.4999839961528778,-1.7270435094833374,-0.3112172782421112,0.3166141510009765,0.7044195532798767,0.4,0.365,-0.1,0.3999999559718923,0.3649998566212724,-0.0999998775158993,0.0098933605477213,0.0151042342185974,0.0367407500743866,0.0335055589675903,0.0298925936222076,0.0371463894844055,0.0115215182304382,1.9364474872039498e-07,6.819508649869022e-05,29,-0.0082148658111691,-0.8485555648803711,-0.4999839961528778,-1.7270435094833374,0.3112172782421112,0.3166141510009765,-0.7044195532798767,0.4,-0.365,-0.1,0.3999999153972504,-0.3649998422229637,-0.0999997593708626,0.0098933605477213,0.0151042342185974,0.0367407500743866,0.0335055589675903,0.0298925936222076,0.0371463894844055,0.0115215182304382,2.99922656968706e-07,6.220255187372459e-05
