Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
45,-0.1601282060146332,-0.6412455439567566,0.07624425739049911,-1.876558780670166,-0.24912960827350616,0.5402711629867554,-0.35189953446388245,0.4,-0.2,-0.15,0.3999999044908038,-0.1999999487798844,-0.14999981160370912,0.01780557632446292,0.006968379020690807,0.0002562403678894043,0.019336581230163574,0.009313210844993591,0.03473544120788574,0.0025480985641479492,2.173445863631217e-07,5.564613422848197e-05
46,-0.1423226296901703,-0.6342771649360658,0.07650049775838852,-1.8572221994400024,-0.25844281911849976,0.5055357217788696,-0.3493514358997345,0.4,-0.2,-0.16,0.3999999069102969,-0.19999995061264217,-0.1599997921561626,0.016201123595237732,0.006947636604309193,0.0009381622076034546,0.02054929733276345,0.008754462003707886,0.03465047478675842,0.001748800277709961,2.3303189627519337e-07,5.793091690975416e-05
47,-0.12612150609493256,-0.6273295283317566,0.07743865996599197,-1.836672902107239,-0.26719728112220764,0.4708852469921112,-0.34760263562202454,0.4,-0.2,-0.16999999999999998,0.39999992285014513,-0.19999995883278526,-0.1699998141750674,0.01461915671825409,0.0069179534912109375,0.0015847086906433105,0.02174973487854026,0.008264034986495972,0.03454267978668213,0.0010016262531280518,2.0537221148126053e-07,5.472149604202059e-05
48,-0.11150234937667847,-0.6204115748405457,0.07902336865663528,-1.8149231672286987,-0.2754613161087036,0.4363425672054291,-0.3466010093688965,0.4,-0.2,-0.18,0.39999992033718035,-0.19999995006299498,-0.1799997913222073,0.01306173950433731,0.006882429122924805,0.00219697505235672,0.02293992042541504,0.007836043834686335,0.03441828489303589,0.00029984116554260254,2.288805157055711e-07,5.556748243407128e-05
49,-0.09844060987234116,-0.6135291457176208,0.081220343708992,-1.7919832468032837,-0.28329735994338995,0.4019242823123932,-0.3463011682033539,0.4,-0.2,-0.19,0.3999999265839189,-0.19999995602399107,-0.18999978228626233,0.011530131101608276,0.006843984127044678,0.0027764365077018738,0.024123072624206543,0.007465183734893743,0.03428304195404053,0.0003629624843597412,2.3392965160615468e-07,5.6115730160399835e-05
50,-0.08691047877073288,-0.6066851615905762,0.08399678021669388,-1.7678601741790771,-0.2907625436782837,0.36764124035835266,-0.3466641306877136,0.4,-0.2,-0.2,0.3999999360087717,-0.1999999605286029,-0.1999997941026739,0.01002492755651474,0.006805479526519775,0.0033247917890548706,0.02530217170715332,0.007146865129470881,0.03414246439933777,0.0009925365447998047,2.1919529509008636e-07,5.388928360616774e-05
51,-0.07688555121421814,-0.5998796820640564,0.08732157200574875,-1.7425580024719238,-0.29790940880775457,0.3334987759590149,-0.3476566672325134,0.4,-0.2,-0.21000000000000002,0.3999999482266886,-0.1999999743939186,-0.20999980522407127,0.008546009659767151,0.006769299507141002,0.0038440153002738953,0.026480793952941895,0.006877243518829346,0.03400164842605591,0.0015943050384521484,2.0315956684324778e-07,5.3672424428441445e-05
52,-0.06833954155445099,-0.5931103825569154,0.09116558730602264,-1.716077208518982,-0.3047866523265839,0.299497127532959,-0.3492509722709656,0.4,-0.2,-0.21999999999999997,0.3999999535165972,-0.19999997673078687,-0.21999980262708035,0.007092665880918503,0.006737947463989369,0.004336178302764893,0.027662992477416992,0.006652921438217108,0.03386548161506653,0.002173393964767456,2.0410348458458688e-07,5.40783219662444e-05
53,-0.061246875673532486,-0.586372435092926,0.09550176560878754,-1.688414216041565,-0.311439573764801,0.26563164591789246,-0.35142436623573303,0.4,-0.2,-0.23,0.39999995680476585,-0.19999997101532724,-0.22999978575730284,0.005663525313138962,0.006713569164276123,0.00480351597070694,0.028853416442871094,0.006471157073974609,0.033738508820533725,0.002734661102294922,2.2046739622814292e-07,5.4427651434707514e-05
54,-0.055583350360393524,-0.5796588659286499,0.10030528157949448,-1.6595607995986938,-0.31791073083877563,0.23189313709735873,-0.35415902733802795,0.4,-0.2,-0.24,0.39999996744587046,-0.19999998782804687,-0.23999978690730894,0.004256676882505417,0.006698191165924072,0.005248352885246277,0.030057311058044434,0.006329745054244995,0.03362518548965457,0.0032828152179718018,2.159083666112159e-07,5.488111185059097e-05
