Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
23,0.01232921238988638,0.5328202843666077,0.20093370974063873,-1.3660901784896853,0.04408327862620354,-0.1304882913827896,0.367302805185318,0.4,0.27459999999999996,-0.30000000000000004,0.39985653691439343,0.27387572720846864,-0.29926476747349473,0.008918285871294127,0.03151035987948947,0.03212553821840039,0.021373447898952014,0.029694986164653492,0.021959162707471586,0.027529955753341273,0.0010419786953271683,0.744487259598202,-0.8918285871294127,-3.151035987948949,-3.21255382184004,-2.137344789895199,2.9694986164653483,2.1959162707471593,-2.7529955753341295
24,0.008506583981215954,0.51921147108078,0.18260793387889862,-1.377289891242981,0.04408327862620354,-0.1304882913827896,0.367302805185318,0.4,0.26480000000000004,-0.30000000000000004,0.39971783231787267,0.26367490086706025,-0.2990987745344641,0.009419258525235322,0.03278816180324107,0.030956705634307663,0.019886506501814116,0.041794293339219524,0.029894195294898035,0.03748694747098308,0.0014689023110845305,1.0826856108789116,-0.9419258525235322,-3.2788161803241045,-3.095670563430767,-1.9886506501814178,4.179429333921952,2.989419529489804,-3.7486947470983076
25,0.003410926554352045,0.5013099312782288,0.16880817711353302,-1.3874635696411133,0.07377826422452927,-0.10852912813425064,0.33977285027503973,0.4,0.255,-0.30000000000000004,0.39986042029001506,0.2542098690528934,-0.29927903426252045,0.010687012027660321,0.0321247106246495,0.03278006019070251,0.01654730677000882,0.029352444036978634,0.018539728133328798,0.028635130033884848,0.0010786941195883935,0.8172897692749643,-1.068701202766032,-3.21247106246495,-3.2780060190702507,-1.654730677000888,2.935244403697863,1.8539728133328803,-2.8635130033884866
26,-0.00091267452808097,0.4864233136177063,0.15165123343467712,-1.3971763849258423,0.08587757498025894,-0.10059409588575363,0.32981586456298834,0.4,0.24519999999999997,-0.30000000000000004,0.3998255847617425,0.24427400606049446,-0.29924612091841174,0.012056510187561594,0.03263894515487287,0.03312332071850213,0.01348792023246248,0.031939233249715315,0.01848325157981645,0.03157470409328228,0.001206739044281651,0.9366764743665499,-1.2056510187561593,-3.263894515487287,-3.312332071850214,-1.3487920232462483,3.193923324971532,1.848325157981645,-3.1574704093282278
27,-0.0072760856710374355,0.4691852331161499,0.15165123343467712,-1.3971763849258423,0.08587757498025894,-0.10059409588575363,0.32981586456298834,0.4,0.2354,-0.30000000000000004,0.3997425517173159,0.23429387262729764,-0.29877993181932316,0.012105598196890666,0.03650968512702807,0.043748493162163254,0.020058640653557003,0.03889772105958278,0.023576492979973357,0.04664808070768994,0.0016668424485831352,1.3349328227855608,-1.2105598196890666,-3.6509685127028053,-4.3748493162163244,-2.0058640653557056,3.889772105958277,2.357649297997335,-4.664808070768996
28,-0.012969184666872025,0.45378437638282776,0.11852791160345078,-1.4106643199920654,0.10313070565462112,-0.08998940140008926,0.31113770604133606,0.4,0.22559999999999997,-0.30000000000000004,0.3997283507021784,0.22426134873846035,-0.29915604309503585,0.012692017090540353,0.03328240299199914,0.03280031239894031,0.009656137591802283,0.04007248104086569,0.020206826526062233,0.040057855456681946,0.001605628786010436,1.3275582669278378,-1.2692017090540353,-3.328240299199911,-3.280031239894031,-0.965613759180238,4.0072481040865675,2.0206826526062227,-4.0057855456681954
29,-0.012969184666872025,0.45378437638282776,0.11852791160345078,-1.4106643199920654,0.11781680583953857,-0.08211084455251694,0.2982411682605744,0.4,0.21580000000000005,-0.30000000000000004,0.39972792920060485,0.2144475617146831,-0.2986413259892733,0.01950918822480665,0.04949102747996531,0.04959622284986412,0.014073608240743551,0.04026971821388323,0.01878609800847998,0.04151332819360837,0.0019362610626924531,1.4098162578520146,-1.9509188224806648,-4.949102747996533,-4.959622284986411,-1.4073608240743585,4.026971821388322,1.878609800847998,-4.151332819360834
30,-0.019381683319807056,0.4326755404472351,0.10790274292230606,-1.417235016822815,0.12477529793977739,-0.07701760530471802,0.2831677794456482,0.4,0.20600000000000002,-0.30000000000000004,0.3996755468303067,0.2044897957953654,-0.2985809059823703,0.02050576254062605,0.04952961297781211,0.050797845941179504,0.009435154751360475,0.04231555044561501,0.017628001311173383,0.04515871853930292,0.002097573462335151,1.5723293123344888,-2.0505762540626056,-4.952961297781209,-5.0797845941179505,-0.9435154751360401,4.231555044561501,1.7628001311173387,-4.515871853930293
31,-0.025661202147603035,0.4205019772052765,0.08572760224342346,-1.4203205108642578,0.14320318400859833,-0.06978257745504379,0.2710798382759094,0.4,0.19619999999999999,-0.30000000000000004,0.3996598141031055,0.1946125628470645,-0.2986527453363073,0.021606646492360507,0.05040138953675416,0.049861283469769035,0.006579175721738606,0.04243682596619741,0.015408372869195316,0.04418646320853037,0.0021096867748098716,1.623842797802297,-2.160664649236051,-5.040138953675415,-4.986128346976903,-0.6579175721738537,4.243682596619743,1.5408372869195317,-4.418646320853037
32,-0.0398874469101429,0.3831459283828736,0.05710489675402641,-1.4266701936721802,0.16709084808826447,-0.05938960239291191,0.2380090653896332,0.4,0.1864,-0.30000000000000004,0.3997320067850574,0.1850188259813353,-0.29936633404951946,0.01588828490577887,0.03426214270572153,0.033848178781978176,0.003046653234432428,0.032154402277233624,0.007724096796467433,0.03368589101305536,0.0015430471703380348,1.4175791163518738,-1.588828490577887,-3.426214270572154,-3.3848178781978175,0.30466532344323566,3.2154402277233625,0.7724096796467433,-3.3685891013055356
