Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
33,0.12474291026592255,-0.9151465892791748,-0.5631967782974243,-1.4222936630249023,0.2669726610183716,-0.053397733718156815,-0.6961237788200378,0.4,-0.305,-0.1,0.3975220616210358,-0.4372788604901313,-0.15791241042014845,0.0024737943871320778,0.013378890541168587,0.010010616022721797,0.06146677524141109,0.01336024894959309,0.054649422472644586,0.006287808651493809,0.14442189720346874,0.7182476848997226,0.024737943871320833,0.13378890541168534,0.10010616022721741,-0.6146677524141103,-0.13360248949593098,0.5464942247264458,-0.06287808651493794
34,0.12937328219413757,-0.9062280654907227,-0.5613617897033691,-1.4570428133010864,0.2633451223373413,-0.016608471050858498,-0.7048822045326233,0.4,-0.29000000000000004,-0.1,0.39684528938144276,-0.42913236682515865,-0.15570621493967585,0.00011159739399113633,0.013260861321092832,0.014437061721999433,0.06056168326214628,0.01553857161154687,0.05452911682001839,0.0046588413768458015,0.14990313565887373,0.20777795099746754,-0.0011159739399114743,0.13260861321092837,0.14437061721999422,-0.6056168326214626,-0.1553857161154687,0.5452911682001839,-0.04658841376845802
35,0.12721671164035797,-0.901767671108246,-0.5613617897033691,-1.4570428133010864,0.2633451223373413,-0.016608471050858498,-0.7048822045326233,0.4,-0.275,-0.1,0.3966870217314037,-0.42728217328474877,-0.15639898519568227,9.156241274449473e-05,0.015034215213875046,0.01641546111072467,0.065262889414343,0.01769778740185296,0.05836280515323207,0.00398599316745929,0.1624243875051934,0.4065114872036588,0.0009156241274450028,0.1503421521387506,0.164154611107247,-0.65262889414343,-0.17697787401852966,0.5836280515323207,-0.039859931674593216
36,0.12721671164035797,-0.901767671108246,-0.5531861782073975,-1.4837604761123657,0.2536123991012573,0.001251688809134066,-0.7024115920066833,0.4,-0.26,-0.1,0.3971377886559561,-0.4195466891107467,-0.15198609483861275,0.0014795968211867572,0.015887195571461454,0.019910242103951425,0.06538474842919428,0.019537349005970622,0.06016171954607374,0.003063772739078985,0.16782697136202057,0.6477962219138362,-0.014795968211867683,0.15887195571461438,0.1991024210395138,-0.6538474842919425,-0.19537349005970622,0.6016171954607373,-0.03063772739079003
37,0.12926168739795685,-0.8929672241210939,-0.5469247102737427,-1.517604470252991,0.24780654907226562,0.037920646369457245,-0.7095410227775575,0.4,-0.245,-0.1,0.3965631817838853,-0.4107309718066657,-0.14993516277002134,0.00423388476726097,0.015459735598555735,0.02460263527664064,0.06401298677736977,0.021893065664030598,0.06007368245872566,0.001131260288107283,0.1731244847394526,0.2510217774802186,-0.042338847672609814,0.15459735598555716,0.2460263527664062,-0.6401298677736968,-0.21893065664030595,0.6007368245872566,-0.011312602881072498
38,0.12926168739795685,-0.8929672241210939,-0.5449463129043579,-1.5223057270050049,0.2456473410129547,0.041754335165023804,-0.7088682055473328,0.4,-0.22999999999999998,-0.1,0.3965562172638066,-0.40806207824188184,-0.14926405681136168,0.0047359345885513715,0.017055122223222696,0.027283364025364132,0.06755129461588738,0.024199753039959665,0.06343733521034077,0.0004422154300024461,0.18478341549193542,0.25129150248858423,-0.04735934588551377,0.17055122223222724,0.2728336402536409,-0.6755129461588731,-0.2419975303995966,0.6343733521034076,-0.004422154300024725
39,0.12502780556678772,-0.8775075078010559,-0.5223220586776733,-1.5816174745559692,0.23407505452632907,0.061413407325744636,-0.7054753899574281,0.4,-0.21500000000000002,-0.1,0.39585924921871135,-0.3884796008279975,-0.14271952695225887,0.007836345244165821,0.015976598928005403,0.03166359796834162,0.062374997826867506,0.02630100739201663,0.06497926140540372,0.0022637228635871143,0.1787100324646013,2.1071051204215223,-0.07836345244165815,0.15976598928005425,0.31663597968341645,-0.6237499782686747,-0.2630100739201663,0.6497926140540371,0.022637228635870768
40,0.1245257556438446,-0.8759121298789978,-0.5176629424095154,-1.5898569822311401,0.22144758701324463,0.105191670358181,-0.7093104124069214,0.4,-0.2,-0.1,0.39620079729576446,-0.38727785736666104,-0.14407246618949937,0.010319112519990042,0.016149307047718442,0.03648173119600345,0.06358598952820338,0.028478646759558968,0.06415107956932092,0.004055860913705911,0.1924313178177083,0.29654585088218255,-0.10319112519990048,0.16149307047718442,0.3648173119600347,-0.6358598952820345,-0.2847864675955895,0.6415107956932092,0.04055860913705908
41,0.11719146370887756,-0.8615309000015259,-0.4906584620475769,-1.6439924240112305,0.22144758701324463,0.105191670358181,-0.7093104124069214,0.4,-0.2,-0.11000000000000001,0.39509234594752934,-0.36749531863734336,-0.1385144640789311,0.011404368954881353,0.015517881085126195,0.03746252174114395,0.0539235331943273,0.03017819019139395,0.06184283541189001,0.007650858233899438,0.16997600270459523,3.1623243302709056,-0.1140436895488135,0.15517881085126234,0.37462521741143956,-0.5392353319432729,-0.3017819019139396,0.6184283541189002,0.07650858233899396
42,0.11420664191246033,-0.8597628474235535,-0.48118120431900024,-1.653442978858948,0.1929689347743988,0.1693427562713623,-0.7052545547485352,0.4,-0.2,-0.12000000000000002,0.39607625584283285,-0.3685542606078712,-0.14139448980530972,0.01355732841696472,0.014903970427561308,0.040913832289971086,0.048156945549145735,0.030661499608140436,0.052387504740809804,0.010397022303340386,0.16995193064895311,0.33369950665769466,-0.13557328416964726,0.14903970427561328,0.4091383228997108,-0.48156945549145824,-0.3066149960814044,0.5238750474080981,0.10397022303340413
