Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
20,-0.2855644226074219,-0.8187230825424194,-0.48571330308914185,-0.6258218884468079,0.24268105626106262,-0.39132905006408697,-0.14889198541641235,0.4,-0.5,-0.30000000000000004,0.40624526562857405,-0.5267441388020083,-0.3110710828200528,0.01702588998076693,0.00011615416636834297,0.001973453041384632,0.019774389987134544,0.023043333991791537,0.00457561772179188,0.011686855388497508,0.02961116643837258,15.244398894250903,1.7025889980766924,0.011615416636833782,0.1973453041384632,-1.9774389987134589,2.3043333991791526,-0.45756177217918653,-1.1686855388497517
21,-0.2855644226074219,-0.8187230825424194,-0.48571330308914185,-0.6258218884468079,0.24268105626106262,-0.39132905006408697,-0.14889198541641235,0.4,-0.5,-0.29600000000000004,0.40732395799614074,-0.5275588728709499,-0.307417097884836,0.01564084104274155,0.0028469051748937213,0.0012974304705605788,0.025864470132160644,0.02305645432242509,0.004334395220840392,0.011775080943217525,0.030716151431426753,15.252591225441272,1.5640841042741531,-0.2846905174893719,0.12974304705605594,-2.5864470132160586,2.3056454322425117,-0.4334395220840389,-1.177508094321753
22,-0.26853853464126587,-0.8186069130897522,-0.48373985290527344,-0.6455962657928468,0.26572439074516296,-0.3959046602249146,-0.16057884693145752,0.4,-0.5,-0.29200000000000004,0.40782670792114584,-0.524993438104888,-0.30293193057219314,0.011558238492012318,0.005878413028937102,0.00040118125968563456,0.028659415261289012,0.019428206332459286,0.003526765689565614,0.01072415773105842,0.028380211613394334,13.717149679560587,1.1558238492012303,-0.5878413028937115,-0.040118125968563255,-2.865941526128901,1.9428206332459297,-0.3526765689565632,-1.0724157731058412
23,-0.2699235677719116,-0.8215699791908264,-0.48441585898399353,-0.6516863703727722,0.26573750376701355,-0.3956634402275086,-0.1606670618057251,0.4,-0.5,-0.28800000000000003,0.40889116597073627,-0.5256050607523673,-0.29878664801991917,0.012861610592283246,0.005852476718294586,0.0009233430815744348,0.031376136847010905,0.019512865331597296,0.002823041911453328,0.011067220151986912,0.02917231125497646,13.740747259620845,1.2861610592283248,-0.5852476718294538,-0.09233430815744517,-3.137613684701089,1.9512865331597316,-0.28230419114533545,-1.1067220151986925
24,-0.256980299949646,-0.8244853019714355,-0.4841410219669342,-0.6742556691169739,0.28515258431434637,-0.399431437253952,-0.17130300402641296,0.4,-0.5,-0.28400000000000003,0.40935218235904464,-0.5233434930177219,-0.293970897076432,0.011847768577814416,0.005880746774872048,0.002155623240207183,0.031220448058211114,0.016675680315188457,0.0015609081645049372,0.01042629571931622,0.027051816383637798,12.471497659059459,1.1847768577814415,-0.5880746774872001,-0.2155623240207186,-3.1220448058211145,1.667568031518844,-0.1560908164504923,-1.0426295719316219
25,-0.2570619583129883,-0.8274224400520325,-0.48533919453620916,-0.6830624938011169,0.28525036573410034,-0.39848649501800537,-0.1717342883348465,0.4,-0.5,-0.28,0.41026732527670795,-0.5237504682885238,-0.2896545371592816,0.013171662017761293,0.005699630429129243,0.002758767968695286,0.03314293172334637,0.01670789200411127,0.0008272703273876636,0.01080018254345197,0.02761725547591302,12.536282771995818,1.3171662017761294,-0.5699630429129188,-0.27587679686952604,-3.314293172334641,1.6707892004111276,-0.08272703273876855,-1.0800182543451982
26,-0.2451325356960297,-0.8303660750389099,-0.4862966537475586,-0.7054761052131653,0.3018282651901245,-0.40099233388900757,-0.1817293018102646,0.4,-0.5,-0.276,0.4105868947845618,-0.5217184209752193,-0.28480657669196313,0.012497195024155777,0.005563056619478979,0.0038191799118668657,0.03260310965700486,0.014347397912980175,0.0003492736690186571,0.010268432352851159,0.025716297242559097,11.518682316387624,1.2497195024155767,-0.5563056619478994,-0.38191799118668623,-3.260310965700481,1.4347397912980187,0.03492736690186317,-1.026843235285116
27,-0.24389030039310455,-0.8331220746040344,-0.48809796571731573,-0.7162054181098938,0.30195826292037964,-0.3993137776851654,-0.18253447115421295,0.4,-0.5,-0.272,0.41134044636940303,-0.521961622432287,-0.280375433005515,0.013552141085904967,0.005401979095534748,0.004444981922550328,0.03405227979602743,0.014345633030226013,0.0010475878043709197,0.010634826444583467,0.02609725008014272,11.639157039775455,1.3552141085904954,-0.5401979095534739,-0.4444981922550323,-3.405227979602743,1.4345633030225997,0.10475878043709147,-1.0634826444583478
28,-0.23263533413410187,-0.8359291553497314,-0.49011582136154175,-0.7380791902542114,0.3161756694316864,-0.4006430506706238,-0.1919977366924286,0.4,-0.5,-0.268,0.41152839247787354,-0.5201351147607188,-0.27553061167335563,0.012891054053185164,0.005278158946492195,0.005334841416821501,0.03340507105581392,0.012376842864969428,0.002089592406297358,0.010172801826394878,0.024393375980501095,10.85579941315433,1.2891054053185154,-0.5278158946492151,-0.5334841416821514,-3.3405071055813957,1.2376842864969446,0.2089592406297378,-1.0172801826394868
29,-0.23033815622329712,-0.8385240435600281,-0.49254295229911804,-0.7502576708793641,0.31630390882492065,-0.3982661962509155,-0.19316929578781128,0.4,-0.5,-0.264,0.412128184911382,-0.5202491207124865,-0.27101147518112806,0.013660711104027584,0.005137881619182272,0.005940243405846646,0.03446262013405843,0.012361607467417657,0.0027355076276057155,0.010516682737074734,0.024622764732846275,11.037139863842071,1.3660711104027574,-0.5137881619182217,-0.5940243405846658,-3.446262013405842,1.2361607467417683,0.2735507627605729,-1.0516682737074736
30,-0.21974427998065948,-0.8412073254585266,-0.49545067548751837,-0.7714842557907104,0.3285525143146515,-0.3985534608364105,-0.20217053592205048,0.4,-0.5,-0.26,0.4121979911450519,-0.5185845647727335,-0.26616514635424177,0.013087803724556257,0.005015968964621198,0.006706742522891218,0.03391878570125295,0.010791624086124163,0.0036779525618948483,0.010181236372390073,0.023069158314423,10.460073093076574,1.3087803724556253,-0.5015968964621156,-0.6706742522891261,-3.3918785701252925,1.079162408612419,0.36779525618948505,-1.018123637239008
31,-0.2166774421930313,-0.843661904335022,-0.49848318099975586,-0.7847203016281129,0.32866552472114563,-0.39553070068359375,-0.20368598401546478,0.4,-0.5,-0.256,0.41266513260535415,-0.5186212711966457,-0.2615917554176901,0.013474445271953656,0.004908882617520316,0.007223367041177653,0.034467900293474796,0.010707298447076075,0.004233751454103263,0.010421220361618994,0.02320398788013597,10.704633466507858,1.3474445271953654,-0.49088826175203637,-0.7223367041177615,-3.4467900293474845,1.0707298447076083,0.42337514541032845,-1.0421220361618988
32,-0.20665647089481357,-0.8462232947349548,-0.5021573901176453,-0.8054030537605287,0.3393441438674927,-0.39487549662590027,-0.2123517692089081,0.4,-0.5,-0.252,0.41263787620443415,-0.5171129799787916,-0.25676039007376705,0.012809429634941638,0.004807954026198713,0.007831312148949277,0.03377841225704403,0.009373724019435814,0.005053748137393788,0.010099345942449295,0.02179980074146421,10.308998350055731,1.280942963494165,-0.48079540261987286,-0.783131214894923,-3.3778412257044037,0.9373724019435823,0.5053748137393775,-1.009934594244929
33,-0.2032029926776886,-0.8485707640647888,-0.5057065486907959,-0.8191881775856018,0.33937281370162964,-0.39129695296287537,-0.2141072005033493,0.4,-0.5,-0.24800000000000003,0.41298655831966635,-0.517085178781499,-0.25213840778265384,0.013023728197691598,0.004713702164235278,0.008288506215332947,0.03413629949909425,0.009338673990023583,0.005551145133608881,0.010333028973868619,0.021855901948018674,10.604290691965389,1.3023728197691595,-0.4713702164235254,-0.8288506215332963,-3.4136299499094296,0.9338673990023584,0.5551145133608894,-1.033302897386862
34,-0.19384704530239105,-0.8510312438011169,-0.5099887251853943,-0.8391814827919007,0.34871786832809454,-0.38982173800468445,-0.22245112061500552,0.4,-0.5,-0.24400000000000002,0.4128821361150743,-0.5157217461735182,-0.247326398008838,0.012303100389323363,0.00463372501292203,0.008754685885875357,0.03337935798642544,0.008222072098216626,0.00626223336646331,0.010034458191164247,0.020595816501052723,10.359523340076862,1.230310038932335,-0.4633725012922084,-0.8754685885875305,-3.337935798642543,0.8222072098216604,0.6262233366463319,-1.0034458191164262
